subject_id,session,condition,folder_name,eeg_path,info_json_path,n_samples,duration_sec,n_channels_csv
202557,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202557\Session01\Test_camsiseS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202557\Session01\Test_camsiseS01R000\info.json,11605,45.33,32
202558,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202558\Session01\Test_kartonS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202558\Session01\Test_kartonS01R000\info.json,11471,44.81,32
202558,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202558\Session01\Test_camsiseS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202558\Session01\Test_camsiseS01R000\info.json,11632,45.44,32
202560,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202560\Session01\Test_kartonS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202560\Session01\Test_kartonS01R000\info.json,11474,44.82,32
202560,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202560\Session01\Test_camsiseS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202560\Session01\Test_camsiseS01R000\info.json,11602,45.32,32
202561,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202561\Session01\Test_kartonS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202561\Session01\Test_kartonS01R000\info.json,11442,44.7,32
202561,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202561\Session01\Test_camsiseS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202561\Session01\Test_camsiseS01R000\info.json,11617,45.38,32
202562,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202562\Session01\Test_kartonS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202562\Session01\Test_kartonS01R000\info.json,11489,44.88,32
202562,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202562\Session01\Test_camsiseS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202562\Session01\Test_camsiseS01R000\info.json,11617,45.38,32
202563,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202563\Session01\Test_kartonS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202563\Session01\Test_kartonS01R000\info.json,11479,44.84,32
202563,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202563\Session01\Test_camsiseS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202563\Session01\Test_camsiseS01R000\info.json,11601,45.32,32
202564,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202564\Session01\Test_kartonS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202564\Session01\Test_kartonS01R000\info.json,11474,44.82,32
202564,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202564\Session01\Test_camsiseS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202564\Session01\Test_camsiseS01R000\info.json,11607,45.34,32
202565,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202565\Session01\Test_kartonS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202565\Session01\Test_kartonS01R000\info.json,11456,44.75,32
202565,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202565\Session01\Test_camsiseS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202565\Session01\Test_camsiseS01R000\info.json,11626,45.41,32
202566,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202566\Session01\Test_kartonS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202566\Session01\Test_kartonS01R000\info.json,11460,44.77,32
202566,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202566\Session01\Test_camsiseS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202566\Session01\Test_camsiseS01R000\info.json,11627,45.42,32
